ID,Status,Reason,Created,Completed,Usage (seconds),Mode,Compute resource,Instance,Name,Tags
cxbahjytpsjg008cjgn0,Completed,,2024-12-09T08:22:35.395Z,2024-12-09T08:22:57.832Z,6,Job,ibm_kyiv,ibm-q/open/main,,
cxbagptpx23g008c109g,Completed,,2024-12-09T08:20:43.609Z,2024-12-09T08:21:21.140Z,5,Job,ibm_kyiv,ibm-q/open/main,,
cxbagptbqkhg00895zp0,Completed,,2024-12-09T08:20:43.561Z,2024-12-09T08:22:24.349Z,6,Job,ibm_kyiv,ibm-q/open/main,,
cxbagptpx23g008c1090,Completed,,2024-12-09T08:20:43.525Z,2024-12-09T08:21:10.220Z,6,Job,ibm_kyiv,ibm-q/open/main,,
cxbagptztp30008g7s50,Completed,,2024-12-09T08:20:43.365Z,2024-12-09T08:22:32.662Z,5,Job,ibm_kyiv,ibm-q/open/main,,
cxbaghjtpsjg008cjgj0,Completed,,2024-12-09T08:20:22.629Z,2024-12-09T08:20:57.900Z,5,Job,ibm_kyiv,ibm-q/open/main,,
cxbaghjbqkhg00895zn0,Completed,,2024-12-09T08:20:22.621Z,2024-12-09T08:20:50.207Z,7,Job,ibm_kyiv,ibm-q/open/main,,
cxbagh2rkac00089rs30,Completed,,2024-12-09T08:20:20.580Z,2024-12-09T08:20:40.975Z,5,Job,ibm_kyiv,ibm-q/open/main,,
cxb5c3grkac00089r7c0,Completed,,2024-12-09T02:29:34.452Z,2024-12-09T04:38:41.624Z,5,Job,ibm_sherbrooke,ibm-q/open/main,,
cx98wm2px23g008btgs0,Completed,,2024-12-06T05:40:32.894Z,2024-12-06T09:35:25.356Z,2,Job,ibm_sherbrooke,ibm-q/open/main,,
cx8m8ybrkac00089fkdg,Completed,,2024-12-05T06:13:13.572Z,2024-12-05T06:15:09.239Z,5,Job,ibm_sherbrooke,ibm-q/open/main,,
cx8m0b9rkac00089fjv0,Completed,,2024-12-05T05:54:54.108Z,2024-12-05T05:55:09.304Z,4,Job,ibm_sherbrooke,ibm-q/open/main,,
cx8kvc5bqkhg0088wqr0,Completed,,2024-12-05T05:44:16.971Z,2024-12-05T05:44:53.679Z,6,Job,ibm_brisbane,ibm-q/open/main,,
cx8ktehbqkhg0088wqng,Completed,,2024-12-05T05:42:18.617Z,2024-12-05T05:42:35.048Z,5,Job,ibm_sherbrooke,ibm-q/open/main,,
cx8kkqeztp30008fycgg,Completed,,2024-12-05T05:27:57.607Z,2024-12-05T05:28:22.367Z,5,Job,ibm_sherbrooke,ibm-q/open/main,,
cx8khw7pjw30008gzszg,Completed,,2024-12-05T05:24:00.649Z,2024-12-05T05:25:17.956Z,6,Job,ibm_sherbrooke,ibm-q/open/main,,
cx8kf1wbqkhg0088wpzg,Completed,,2024-12-05T05:18:00.086Z,2024-12-05T05:18:52.952Z,4,Job,ibm_sherbrooke,ibm-q/open/main,,
