Algorithm,Operation,Mean Time of javascript (ms),Mean Time of webassembly (ms),Ratio of webassembly/javascript
ml_kem512,keygen,0.941,0.136,0.144527099
ml_kem512,encapsulate,1.0076,0.095,0.094283446
ml_kem512,decapsulate,0.76,0.0464,0.061052632
ml_kem768,keygen,1.355,0.1524,0.112472325
ml_kem768,encapsulate,1.5838,0.0978,0.061750221
ml_kem768,decapsulate,1.2528,0.0708,0.05651341
ml_kem1024,keygen,2.0536,0.172,0.083755356
ml_kem1024,encapsulate,2.3744,0.139,0.058541105
ml_kem1024,decapsulate,1.9576,0.1004,0.051287291
ml_dsa44,keygen,2.951,0.1464,0.049610302
ml_dsa44,encapsulate,6.1964,0.161,0.025982829
ml_dsa44,decapsulate,2.738,0.0978,0.035719503
ml_dsa65,keygen,5.2242,0.2178,0.041690594
ml_dsa65,encapsulate,7.9218,0.2524,0.031861446
ml_dsa65,decapsulate,4.7976,0.161,0.033558446
ml_dsa87,keygen,8.8594,0.3072,0.034675034
ml_dsa87,encapsulate,12.9344,0.4884,0.037759772
ml_dsa87,decapsulate,8.4524,0.2806,0.033197672
slh_dsa_sha2_128f,keygen,287.65,171.5,0.596210673
slh_dsa_sha2_128f,encapsulate,5788.65,4024.3,0.695205272
slh_dsa_sha2_128f,decapsulate,325.45,228.65,0.702565678
slh_dsa_sha2_128s,keygen,14696.1,9524,0.648063092
slh_dsa_sha2_128s,encapsulate,111907.1,85343.6,0.762629002
slh_dsa_sha2_128s,decapsulate,118.3000001,69.35000002,0.586221471
slh_dsa_sha2_192f,keygen,403.5,238.35,0.59070632
slh_dsa_sha2_192f,encapsulate,9551.95,6333.55,0.663063563
slh_dsa_sha2_192f,decapsulate,537.9499999,348.4,0.647643833
slh_dsa_sha2_192s,keygen,21627.8,13998.3,0.647236427
slh_dsa_sha2_192s,encapsulate,202915.2,136045.6,0.670455441
slh_dsa_sha2_192s,decapsulate,205.9,110.7,0.537639631
slh_dsa_sha2_256f,keygen,916.5,597.3,0.651718494
slh_dsa_sha2_256f,encapsulate,19278.1,12722.85,0.659963897
slh_dsa_sha2_256f,decapsulate,590.75,346.6999999,0.586881083
slh_dsa_sha2_256s,keygen,18108.2,9268.35,0.511831656
slh_dsa_sha2_256s,encapsulate,189588.95,123039.45,0.64898007
slh_dsa_sha2_256s,decapsulate,279.35,160.5500001,0.574727045
slh_dsa_shake_128f,keygen,233.85,7.450000048,0.031858029
slh_dsa_shake_128f,encapsulate,5531.75,103.25,0.018664979
slh_dsa_shake_128f,decapsulate,313.6999999,6.849999905,0.021836149
slh_dsa_shake_128s,keygen,14425.5,267.75,0.018560882
slh_dsa_shake_128s,encapsulate,108641.2,1970.85,0.018140908
slh_dsa_shake_128s,decapsulate,114.8000001,2.25,0.019599303
slh_dsa_shake_192f,keygen,337.1999999,9.5,0.028173191
slh_dsa_shake_192f,encapsulate,8824.7,163.8000001,0.018561538
slh_dsa_shake_192f,decapsulate,474.05,8.899999976,0.018774391
slh_dsa_shake_192s,keygen,21130.35,385.3000001,0.018234435
slh_dsa_shake_192s,encapsulate,184067.55,3371.85,0.018318547
slh_dsa_shake_192s,decapsulate,160.8000001,4.649999976,0.02891791
slh_dsa_shake_256f,keygen,877.4,19.0999999,0.021768862
slh_dsa_shake_256f,encapsulate,17579.05,326.7,0.018584622
slh_dsa_shake_256f,decapsulate,464.45,8.649999976,0.018624179
slh_dsa_shake_256s,keygen,14415.55,257.35,0.01785225
slh_dsa_shake_256s,encapsulate,160955.5,2923.85,0.01816558
slh_dsa_shake_256s,decapsulate,244.5,4.600000024,0.018813906
falcon_512,keygen,149.502,14.6042,0.09768565
falcon_512,encapsulate,22.2892,4.2404,0.190244603
falcon_512,decapsulate,0.3522,0.0526,0.149346962
falcon_1024,keygen,366.3684,42.1466,0.115038852
falcon_1024,encapsulate,47.3048,9.1162,0.192711945
falcon_1024,decapsulate,0.6922,0.1048,0.151401329
