Algorithm,Operation,Mean Time (ms)
ml_kem512,keygen,0.136
ml_kem512,encapsulate,0.095
ml_kem512,decapsulate,0.0464
ml_kem768,keygen,0.1524
ml_kem768,encapsulate,0.0978
ml_kem768,decapsulate,0.0708
ml_kem1024,keygen,0.172
ml_kem1024,encapsulate,0.139
ml_kem1024,decapsulate,0.1004
ml_dsa44,keygen,0.1464
ml_dsa44,encapsulate,0.161
ml_dsa44,decapsulate,0.0978
ml_dsa65,keygen,0.2178
ml_dsa65,encapsulate,0.2524
ml_dsa65,decapsulate,0.161
ml_dsa87,keygen,0.3072
ml_dsa87,encapsulate,0.4884
ml_dsa87,decapsulate,0.2806
slh_dsa_sha2_128f,keygen,171.5
slh_dsa_sha2_128f,encapsulate,4024.3
slh_dsa_sha2_128f,decapsulate,228.65
slh_dsa_sha2_128s,keygen,9524
slh_dsa_sha2_128s,encapsulate,85343.6
slh_dsa_sha2_128s,decapsulate,69.35000002
slh_dsa_sha2_192f,keygen,238.35
slh_dsa_sha2_192f,encapsulate,6333.55
slh_dsa_sha2_192f,decapsulate,348.4
slh_dsa_sha2_192s,keygen,13998.3
slh_dsa_sha2_192s,encapsulate,136045.6
slh_dsa_sha2_192s,decapsulate,110.7
slh_dsa_sha2_256f,keygen,597.3
slh_dsa_sha2_256f,encapsulate,12722.85
slh_dsa_sha2_256f,decapsulate,346.6999999
slh_dsa_sha2_256s,keygen,9268.35
slh_dsa_sha2_256s,encapsulate,123039.45
slh_dsa_sha2_256s,decapsulate,160.5500001
slh_dsa_shake_128f,keygen,7.450000048
slh_dsa_shake_128f,encapsulate,103.25
slh_dsa_shake_128f,decapsulate,6.849999905
slh_dsa_shake_128s,keygen,267.75
slh_dsa_shake_128s,encapsulate,1970.85
slh_dsa_shake_128s,decapsulate,2.25
slh_dsa_shake_192f,keygen,9.5
slh_dsa_shake_192f,encapsulate,163.8000001
slh_dsa_shake_192f,decapsulate,8.899999976
slh_dsa_shake_192s,keygen,385.3000001
slh_dsa_shake_192s,encapsulate,3371.85
slh_dsa_shake_192s,decapsulate,4.649999976
slh_dsa_shake_256f,keygen,19.0999999
slh_dsa_shake_256f,encapsulate,326.7
slh_dsa_shake_256f,decapsulate,8.649999976
slh_dsa_shake_256s,keygen,257.35
slh_dsa_shake_256s,encapsulate,2923.85
slh_dsa_shake_256s,decapsulate,4.600000024
falcon_512,keygen,14.6042
falcon_512,encapsulate,4.2404
falcon_512,decapsulate,0.0526
falcon_1024,keygen,42.1466
falcon_1024,encapsulate,9.1162
falcon_1024,decapsulate,0.1048
