Algorithm,Operation,Mean Time (ms)
ml_kem512,keygen,4.619999980926513
ml_kem512,encapsulate,1.7800000190734864
ml_kem512,decapsulate,1.3
ml_kem768,keygen,5.380000019073487
ml_kem768,encapsulate,2.5199999809265137
ml_kem768,decapsulate,1.7199999809265136
ml_kem1024,keygen,6.440000009536743
ml_kem1024,encapsulate,4.7
ml_kem1024,decapsulate,2.5199999809265137
ml_dsa44,keygen,8.580000019073486
ml_dsa44,encapsulate,11.840000009536743
ml_dsa44,decapsulate,3.459999990463257
ml_dsa65,keygen,10.2
ml_dsa65,encapsulate,12.27999997138977
ml_dsa65,decapsulate,5.360000038146973
ml_dsa87,keygen,14.239999961853027
ml_dsa87,encapsulate,11.119999980926513
ml_dsa87,decapsulate,9.140000009536744
slh_dsa_sha2_128f,keygen,285.3
slh_dsa_sha2_128f,encapsulate,8454.62000002861
slh_dsa_sha2_128f,decapsulate,501.45999999046325
slh_dsa_sha2_128s,keygen,19923.9
slh_dsa_sha2_128s,encapsulate,152850.21999998094
slh_dsa_sha2_128s,decapsulate,167.05999999046327
slh_dsa_sha2_192f,keygen,545.4199999809265
slh_dsa_sha2_192f,encapsulate,13209.780000019073
slh_dsa_sha2_192f,decapsulate,731.1800000190735
slh_dsa_sha2_192s,keygen,29270.119999980925
slh_dsa_sha2_192s,encapsulate,275724.83999996184
slh_dsa_sha2_192s,decapsulate,251.1
slh_dsa_sha2_256f,keygen,1260.8400000095367
slh_dsa_sha2_256f,encapsulate,25970.459999990464
slh_dsa_sha2_256f,decapsulate,706.8
slh_dsa_sha2_256s,keygen,19366.12000002861
slh_dsa_sha2_256s,encapsulate,246611.3
slh_dsa_sha2_256s,decapsulate,371.9200000286102
slh_dsa_shake_128f,keygen,239.18000001907347
slh_dsa_shake_128f,encapsulate,5673.719999980926
slh_dsa_shake_128f,decapsulate,334.77999997138977
slh_dsa_shake_128s,keygen,14700.019999980927
slh_dsa_shake_128s,encapsulate,110428.8
slh_dsa_shake_128s,decapsulate,120.42000002861023
slh_dsa_shake_192f,keygen,349.6400000095367
slh_dsa_shake_192f,encapsulate,9101.519999980927
slh_dsa_shake_192f,decapsulate,490.34000000953677
slh_dsa_shake_192s,keygen,21797.5
slh_dsa_shake_192s,encapsulate,188161.04000000953
slh_dsa_shake_192s,decapsulate,170.24000000953674
slh_dsa_shake_256f,keygen,906.3199999809265
slh_dsa_shake_256f,encapsulate,18250.659999990465
slh_dsa_shake_256f,decapsulate,494.960000038147
slh_dsa_shake_256s,keygen,14392.560000038147
slh_dsa_shake_256s,encapsulate,162179.25999999046
slh_dsa_shake_256s,decapsulate,243.4
falcon_512,keygen,154.15999999046326
falcon_512,encapsulate,28.3
falcon_512,decapsulate,0.6800000190734863
falcon_1024,keygen,415.61999998092654
falcon_1024,encapsulate,51.940000009536746
falcon_1024,decapsulate,1.1599999904632567
