Algorithm,Operation,Mean Time (ms)
ml_kem512,keygen,0.7400000095367432
ml_kem512,encapsulate,0.34000000953674314
ml_kem512,decapsulate,0.21999998092651368
ml_kem768,keygen,0.9199999809265137
ml_kem768,encapsulate,0.3600000381469727
ml_kem768,decapsulate,0.2
ml_kem1024,keygen,0.6200000286102295
ml_kem1024,encapsulate,0.2800000190734863
ml_kem1024,decapsulate,0.2
ml_dsa44,keygen,0.9400000095367431
ml_dsa44,encapsulate,0.6599999904632569
ml_dsa44,decapsulate,0.2
ml_dsa65,keygen,1.1599999904632567
ml_dsa65,encapsulate,0.7199999809265136
ml_dsa65,decapsulate,0.3
ml_dsa87,keygen,1.2400000095367432
ml_dsa87,encapsulate,0.7
ml_dsa87,decapsulate,0.3599999904632568
slh_dsa_sha2_128f,keygen,141.54000000953675
slh_dsa_sha2_128f,encapsulate,3321.1599999904633
slh_dsa_sha2_128f,decapsulate,188.81999998092653
slh_dsa_sha2_128s,keygen,8368.52000002861
slh_dsa_sha2_128s,encapsulate,65062.9
slh_dsa_sha2_128s,decapsulate,60.119999980926515
slh_dsa_sha2_192f,keygen,203.08000001907348
slh_dsa_sha2_192f,encapsulate,5535.0199999809265
slh_dsa_sha2_192f,decapsulate,285.3199999809265
slh_dsa_sha2_192s,keygen,12223.880000019073
slh_dsa_sha2_192s,encapsulate,116386.21999998092
slh_dsa_sha2_192s,decapsulate,100.25999999046326
slh_dsa_sha2_256f,keygen,512.7399999618531
slh_dsa_sha2_256f,encapsulate,11016.559999990463
slh_dsa_sha2_256f,decapsulate,301.84000000953677
slh_dsa_sha2_256s,keygen,8114.419999980926
slh_dsa_sha2_256s,encapsulate,105999.9
slh_dsa_sha2_256s,decapsulate,150.76000003814698
slh_dsa_shake_128f,keygen,6.1400000095367435
slh_dsa_shake_128f,encapsulate,114.32000002861022
slh_dsa_shake_128f,decapsulate,7.1800000190734865
slh_dsa_shake_128s,keygen,298
slh_dsa_shake_128s,encapsulate,2198.6200000286103
slh_dsa_shake_128s,decapsulate,2.259999990463257
slh_dsa_shake_192f,keygen,8.12000002861023
slh_dsa_shake_192f,encapsulate,180.7199999809265
slh_dsa_shake_192f,decapsulate,9.7
slh_dsa_shake_192s,keygen,430.72000002861023
slh_dsa_shake_192s,encapsulate,3761.239999961853
slh_dsa_shake_192s,decapsulate,3.3
slh_dsa_shake_256f,keygen,19.759999990463257
slh_dsa_shake_256f,encapsulate,366.3
slh_dsa_shake_256f,decapsulate,10.180000019073486
slh_dsa_shake_256s,keygen,285.3599999904633
slh_dsa_shake_256s,encapsulate,3254.7
slh_dsa_shake_256s,decapsulate,4.980000019073486
falcon_512,keygen,18.13999996185303
falcon_512,encapsulate,5.320000028610229
falcon_512,decapsulate,0.1
falcon_1024,keygen,42.9
falcon_1024,encapsulate,9.159999990463257
falcon_1024,decapsulate,0.18000001907348634
