Algorithm,Operation,Mean Time (ms)
ml_kem512,keygen,1
ml_kem512,encapsulate,0.4666666666666667
ml_kem512,decapsulate,0.4
ml_kem768,keygen,1.2666666666666666
ml_kem768,encapsulate,0.8
ml_kem768,decapsulate,0.7
ml_kem1024,keygen,1.4333333333333333
ml_kem1024,encapsulate,1.1333333333333333
ml_kem1024,decapsulate,1.1
ml_dsa44,keygen,2.3666666666666667
ml_dsa44,encapsulate,3.1666666666666665
ml_dsa44,decapsulate,1.8666666666666667
ml_dsa65,keygen,3.433333333333333
ml_dsa65,encapsulate,7.866666666666666
ml_dsa65,decapsulate,2.966666666666667
ml_dsa87,keygen,5.3
ml_dsa87,encapsulate,12.733333333333333
ml_dsa87,decapsulate,5.1
slh_dsa_sha2_128f,keygen,144.2
slh_dsa_sha2_128f,encapsulate,3579.6666666666665
slh_dsa_sha2_128f,decapsulate,216.93333333333334
slh_dsa_sha2_128s,keygen,9434.666666666666
slh_dsa_sha2_128s,encapsulate,69341.43333333333
slh_dsa_sha2_128s,decapsulate,52.4
slh_dsa_sha2_192f,keygen,221.83333333333334
slh_dsa_sha2_192f,encapsulate,5739.6
slh_dsa_sha2_192f,decapsulate,311.6333333333333
slh_dsa_sha2_192s,keygen,13487.6
slh_dsa_sha2_192s,encapsulate,123221.56666666667
slh_dsa_sha2_192s,decapsulate,132
slh_dsa_sha2_256f,keygen,580.2333333333333
slh_dsa_sha2_256f,encapsulate,11674.1
slh_dsa_sha2_256f,decapsulate,362.3
slh_dsa_sha2_256s,keygen,9002.7
slh_dsa_sha2_256s,encapsulate,109242.26666666666
slh_dsa_sha2_256s,decapsulate,156.8
slh_dsa_shake_128f,keygen,89.5
slh_dsa_shake_128f,encapsulate,2179.5
slh_dsa_shake_128f,decapsulate,131.06666666666666
slh_dsa_shake_128s,keygen,5733.733333333334
slh_dsa_shake_128s,encapsulate,43098.833333333336
slh_dsa_shake_128s,decapsulate,43.233333333333334
slh_dsa_shake_192f,keygen,133
slh_dsa_shake_192f,encapsulate,3528.2
slh_dsa_shake_192f,decapsulate,196.03333333333333
slh_dsa_shake_192s,keygen,8203.566666666668
slh_dsa_shake_192s,encapsulate,71379.7
slh_dsa_shake_192s,decapsulate,65.56666666666666
slh_dsa_shake_256f,keygen,349.8
slh_dsa_shake_256f,encapsulate,6877.833333333333
slh_dsa_shake_256f,decapsulate,183.3
slh_dsa_shake_256s,keygen,5458.066666666667
slh_dsa_shake_256s,encapsulate,61793.433333333334
slh_dsa_shake_256s,decapsulate,91.5
falcon_512,keygen,153.06666666666666
falcon_512,encapsulate,30.966666666666665
falcon_512,decapsulate,0.3
falcon_1024,keygen,513.0333333333333
falcon_1024,encapsulate,67.66666666666667
falcon_1024,decapsulate,0.5
